"date","CO2dry","CH4dry"
2020-09-14 13:44:12,457.615,2.35893
2020-09-14 13:44:22,565.187,2.51603
2020-09-14 13:44:32,582.939,2.64689
2020-09-14 13:44:42,512.58,2.35817
2020-09-14 13:44:52,386.878,1.94033
2020-09-14 13:45:02,358.296,1.82479
2020-09-14 13:45:12,351.212,1.79579
2020-09-14 13:45:22,348.734,1.78676
2020-09-14 13:45:32,347.709,1.78278
2020-09-14 13:45:42,347.358,1.78198
2020-09-14 13:45:52,347.142,1.78193
2020-09-14 13:46:02,347.108,1.7814
2020-09-14 13:46:12,346.955,1.78109
2020-09-14 13:46:22,346.887,1.78112
2020-09-14 13:46:32,346.821,1.78081
2020-09-14 13:46:42,347.051,1.7819
2020-09-14 13:46:51,385.759,2.00816
2020-09-14 13:47:01,444.176,2.37807
2020-09-14 13:47:11,499.865,2.5369
2020-09-14 13:47:21,513.194,2.58088
2020-09-14 13:47:31,494.939,2.55012
2020-09-14 13:47:41,483.614,2.52765
2020-09-14 13:47:51,480.047,2.5478
2020-09-14 13:48:01,478.178,2.58249
2020-09-14 13:48:11,433.827,2.37384
2020-09-14 13:48:21,385.427,2.039
2020-09-14 13:48:31,363.595,1.88541
2020-09-14 13:48:41,353.74,1.82029
2020-09-14 13:48:51,349.998,1.79823
2020-09-14 13:49:01,348.485,1.7918
2020-09-14 13:49:11,347.784,1.79057
2020-09-14 13:49:21,347.486,1.79106
2020-09-14 13:49:31,347.535,1.79124
2020-09-14 13:49:41,347.437,1.79377
2020-09-14 13:49:51,347.605,1.79545
2020-09-14 13:50:00,353.485,1.83614
2020-09-14 13:50:10,420.621,2.34493
2020-09-14 13:50:20,462.535,2.56173
2020-09-14 13:50:30,473.216,2.58821
2020-09-14 13:50:40,487.005,2.59257
2020-09-14 13:50:50,501.171,2.61736
2020-09-14 13:51:00,504.589,2.67694
2020-09-14 13:51:10,507.829,2.7021
2020-09-14 13:51:20,507.565,2.70614
2020-09-14 13:51:30,507.096,2.70295
2020-09-14 13:51:40,504.799,2.69105
2020-09-14 13:51:50,463.551,2.55297
2020-09-14 13:52:00,399.014,2.14221
2020-09-14 13:52:10,365.264,1.90773
2020-09-14 13:52:20,352.563,1.82548
2020-09-14 13:52:30,348.545,1.80099
2020-09-14 13:52:40,347.123,1.7935
2020-09-14 13:52:50,346.677,1.7909
2020-09-14 13:52:59,346.328,1.78945
2020-09-14 13:53:09,345.993,1.78955
2020-09-14 13:53:19,345.813,1.78974
2020-09-14 13:53:29,347.188,1.79658
2020-09-14 13:53:39,411.82,2.22652
2020-09-14 13:53:49,457.216,2.6045
2020-09-14 13:53:59,474.395,2.68472
2020-09-14 13:54:09,489.998,2.69979
2020-09-14 13:54:19,482.689,2.72133
2020-09-14 13:54:29,475.073,2.75306
2020-09-14 13:54:39,478.469,2.78045
2020-09-14 13:54:49,479.27,2.82827
2020-09-14 13:54:59,477.451,2.84148
2020-09-14 13:55:09,476.957,2.80079
2020-09-14 13:55:19,477.761,2.73474
2020-09-14 13:55:29,480.696,2.72674
2020-09-14 13:55:39,480.894,2.75839
2020-09-14 13:55:49,482.401,2.8057
2020-09-14 13:55:59,485.42,2.81912
2020-09-14 13:56:08,481.038,2.80268
2020-09-14 13:56:18,475.944,2.75053
2020-09-14 13:56:28,472.228,2.75726
2020-09-14 13:56:38,471.542,2.77898
2020-09-14 13:56:48,474.117,2.76554
2020-09-14 13:56:58,482.738,2.70097
2020-09-14 13:57:08,488.102,2.68535
2020-09-14 13:57:18,483.346,2.69931
2020-09-14 13:57:28,480.847,2.71393
2020-09-14 13:57:38,482.636,2.7332
2020-09-14 13:57:48,481.786,2.65963
2020-09-14 13:57:58,477.637,2.61209
2020-09-14 13:58:08,477.038,2.61523
2020-09-14 13:58:18,474.785,2.59268
