SN:3K430000001911 BD:Sep 25 2018 VC:499143b MD5:6a0dee4b41d0e9361e609a0d5f97aa68
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC, Wind Speed (m/s),Azimuth (deg),Elevation (deg),Speed-of-Sound (m/s),Temperature (C)
09/14/2020 13:44:12.887, 09/14/2020 13:44:12.826, 2.31201e+0, 3.55685e-2, 4.48508e+2, 1.97242e+1, 1.98801e+4, 9.12521e+2, 2.35893e+0, 3.79086e-2, 4.57615e+2, 2.03588e+1, 5.04703e+2, 6.74901e-1, 2.91394e+1, 8.89622e-3, 3.03711e+1, 4.64259e-3, 3.49500e+0, 3.99330e-4, 2.32084e+0, 1.63973e-4, -1.73022e+0, 3.70721e-4, -7.02557e+0, 9.13545e-4, 5.14523e+0, 2.83201e-4, 9.65333e+1, 5.31334e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 2, -1, Disabled, 0,0,0,0,0
09/14/2020 13:44:22.843, 09/14/2020 13:44:22.771, 2.46256e+0, 2.11551e-2, 5.53173e+2, 1.06793e+1, 2.12516e+4, 4.19239e+2, 2.51603e+0, 2.26178e-2, 5.65187e+2, 1.11195e+1, 5.03882e+2, 1.60627e+0, 2.91621e+1, 2.33836e-2, 3.03933e+1, 5.94926e-3, 3.49487e+0, 3.59918e-4, 2.32051e+0, 3.60189e-4, -1.72939e+0, 2.39836e-16, -7.02301e+0, 3.68185e-4, 5.14635e+0, 2.23654e-4, 9.65544e+1, 4.19614e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:44:32.766, 09/14/2020 13:44:32.716, 2.57870e+0, 1.97894e-2, 5.67935e+2, 3.76090e+0, 2.57466e+4, 2.64403e+3, 2.64689e+0, 2.48080e-2, 5.82939e+2, 2.56361e+0, 3.94265e+2, 5.42586e+1, 2.91748e+1, 2.02985e-2, 3.04771e+1, 2.55116e-2, 3.49444e+0, 5.80614e-4, 2.32057e+0, 3.37332e-4, -1.72939e+0, 0.00000e+0, -7.02154e+0, 4.16345e-4, 5.14682e+0, 2.64699e-4, 9.65632e+1, 4.96622e-3, 2.00000e+1, 0.00000e+0, 1.58000e+1, 3.61478e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:44:42.736, 09/14/2020 13:44:42.661, 2.28919e+0, 2.10413e-1, 4.97564e+2, 4.94610e+1, 2.92339e+4, 3.06974e+3, 2.35817e+0, 2.17141e-1, 5.12580e+2, 5.12554e+1, 4.91548e+2, 7.10584e+1, 2.91913e+1, 2.65600e-2, 3.04664e+1, 2.30410e-2, 3.49478e+0, 1.54799e-3, 2.32084e+0, 5.04670e-4, -1.72939e+0, 0.00000e+0, -7.02038e+0, 3.70010e-4, 5.14822e+0, 5.05295e-4, 9.65894e+1, 9.48020e-3, 2.00000e+1, 0.00000e+0, 1.37000e+1, 2.21359e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:44:52.662, 09/14/2020 13:44:52.606, 1.89526e+0, 6.34846e-2, 3.77883e+2, 1.67998e+1, 2.31623e+4, 2.13985e+3, 1.94033e+0, 6.92357e-2, 3.86878e+2, 1.80451e+1, 5.04294e+2, 3.93285e-1, 2.91974e+1, 1.41073e-2, 3.04918e+1, 1.25731e-2, 3.49660e+0, 2.87791e-4, 2.32124e+0, 2.66110e-4, -1.72939e+0, 0.00000e+0, -7.01932e+0, 2.72508e-4, 5.14937e+0, 3.14850e-4, 9.66111e+1, 5.90713e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:45:02.607, 09/14/2020 13:45:02.552, 1.79217e+0, 1.24458e-2, 3.51891e+2, 3.16860e+0, 1.78669e+4, 1.26018e+3, 1.82479e+0, 1.49963e-2, 3.58296e+2, 3.68391e+0, 5.04293e+2, 1.45291e-2, 2.91897e+1, 7.04714e-3, 3.05387e+1, 1.56212e-2, 3.49668e+0, 6.77401e-4, 2.32095e+0, 3.17021e-4, -1.72939e+0, 0.00000e+0, -7.01862e+0, 1.72741e-4, 5.15041e+0, 3.29795e-4, 9.66306e+1, 6.18753e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:45:12.552, 09/14/2020 13:45:12.497, 1.76983e+0, 2.85871e-3, 3.46135e+2, 8.85999e-1, 1.44517e+4, 8.51897e+2, 1.79579e+0, 4.42241e-3, 3.51212e+2, 1.19785e+0, 5.04274e+2, 1.09615e-2, 2.92209e+1, 1.56771e-2, 3.05905e+1, 1.58452e-2, 3.49727e+0, 2.79404e-4, 2.32145e+0, 2.47619e-4, -1.72939e+0, 0.00000e+0, -7.01812e+0, 1.27490e-4, 5.15153e+0, 3.23217e-4, 9.66517e+1, 6.06410e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:45:22.493, 09/14/2020 13:45:22.442, 1.76504e+0, 9.50024e-4, 3.44494e+2, 2.92258e-1, 1.21560e+4, 5.55181e+2, 1.78676e+0, 1.88433e-3, 3.48734e+2, 4.86079e-1, 5.04256e+2, 4.77415e-3, 2.92292e+1, 6.00285e-3, 3.06450e+1, 1.76814e-2, 3.49688e+0, 4.53511e-4, 2.32133e+0, 3.14433e-4, -1.72939e+0, 0.00000e+0, -7.01774e+0, 9.14511e-5, 5.15256e+0, 3.15476e-4, 9.66710e+1, 5.91887e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:45:32.441, 09/14/2020 13:45:32.388, 1.76386e+0, 3.05025e-4, 3.44018e+2, 2.08530e-1, 1.06125e+4, 3.69570e+2, 1.78278e+0, 5.44026e-4, 3.47709e+2, 2.69969e-1, 5.04243e+2, 9.38588e-3, 2.92669e+1, 1.21724e-2, 3.07027e+1, 1.75142e-2, 3.49715e+0, 2.43265e-4, 2.32157e+0, 2.01734e-4, -1.72939e+0, 0.00000e+0, -7.01746e+0, 6.82861e-5, 5.15360e+0, 3.33956e-4, 9.66905e+1, 6.26560e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:45:42.384, 09/14/2020 13:45:42.332, 1.76490e+0, 5.95232e-4, 3.44029e+2, 1.49402e-1, 9.58359e+3, 2.71180e+2, 1.78198e+0, 4.11458e-4, 3.47358e+2, 1.85476e-1, 5.04234e+2, 1.59893e-2, 2.93122e+1, 2.39778e-2, 3.07641e+1, 1.91875e-2, 3.49771e+0, 3.21028e-4, 2.32133e+0, 2.72571e-4, -1.72939e+0, 0.00000e+0, -7.01723e+0, 5.78275e-5, 5.15471e+0, 3.03591e-4, 9.67113e+1, 5.69589e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:45:52.339, 09/14/2020 13:45:52.278, 1.76620e+0, 5.57506e-4, 3.44078e+2, 2.89914e-1, 8.82458e+3, 1.85621e+2, 1.78193e+0, 5.24241e-4, 3.47142e+2, 3.15137e-1, 5.04212e+2, 1.48443e-2, 2.93586e+1, 2.72982e-2, 3.08274e+1, 1.85918e-2, 3.49781e+0, 5.20175e-4, 2.32141e+0, 2.54334e-4, -1.72939e+0, 0.00000e+0, -7.01706e+0, 5.38928e-5, 5.15576e+0, 3.11638e-4, 9.67309e+1, 5.84687e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:46:02.280, 09/14/2020 13:46:02.224, 1.76662e+0, 5.06200e-4, 3.44229e+2, 2.36600e-1, 8.29545e+3, 1.31609e+2, 1.78140e+0, 5.13114e-4, 3.47108e+2, 2.25816e-1, 5.04194e+2, 1.63583e-2, 2.93959e+1, 3.44563e-2, 3.08894e+1, 2.15987e-2, 3.49812e+0, 4.49992e-4, 2.32105e+0, 3.35687e-4, -1.72939e+0, 0.00000e+0, -7.01691e+0, 2.90130e-5, 5.15684e+0, 3.53308e-4, 9.67511e+1, 6.62866e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:46:12.220, 09/14/2020 13:46:12.168, 1.76701e+0, 3.91202e-4, 3.44213e+2, 2.00064e-1, 7.90492e+3, 1.04918e+2, 1.78109e+0, 3.34948e-4, 3.46955e+2, 2.20597e-1, 5.04169e+2, 1.25237e-2, 2.94030e+1, 2.16814e-2, 3.09548e+1, 1.76866e-2, 3.49794e+0, 5.17946e-4, 2.32056e+0, 3.25093e-4, -1.72939e+0, 0.00000e+0, -7.01683e+0, 2.92545e-5, 5.15799e+0, 3.16597e-4, 9.67728e+1, 5.93991e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:46:22.168, 09/14/2020 13:46:22.113, 1.76764e+0, 2.84673e-4, 3.44263e+2, 2.72918e-1, 7.56533e+3, 9.58300e+1, 1.78112e+0, 3.26296e-4, 3.46887e+2, 2.84584e-1, 5.04177e+2, 1.26736e-2, 2.94333e+1, 3.81099e-2, 3.10130e+1, 1.72275e-2, 3.49739e+0, 2.48331e-4, 2.32067e+0, 2.49325e-4, -1.72939e+0, 0.00000e+0, -7.01673e+0, 4.23218e-5, 5.15899e+0, 3.63308e-4, 9.67916e+1, 6.81628e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:46:32.118, 09/14/2020 13:46:32.058, 1.76782e+0, 5.44913e-4, 3.44290e+2, 1.85468e-1, 7.29728e+3, 8.75331e+1, 1.78081e+0, 5.83809e-4, 3.46821e+2, 1.91786e-1, 5.04169e+2, 8.61457e-3, 2.94480e+1, 2.48504e-2, 3.10805e+1, 2.14362e-2, 3.49705e+0, 3.84123e-4, 2.32085e+0, 3.43023e-4, -1.72939e+0, 0.00000e+0, -7.01662e+0, 1.37127e-5, 5.16018e+0, 3.39508e-4, 9.68139e+1, 6.36975e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:46:42.068, 09/14/2020 13:46:42.010, 1.76932e+0, 3.11294e-3, 3.44601e+2, 3.86075e-1, 7.05892e+3, 7.02938e+1, 1.78190e+0, 3.10847e-3, 3.47051e+2, 3.81722e-1, 5.04159e+2, 1.24022e-2, 2.94659e+1, 1.81094e-2, 3.11510e+1, 1.83776e-2, 3.49730e+0, 3.92298e-4, 2.32075e+0, 3.53154e-4, -1.72939e+0, 0.00000e+0, -7.01657e+0, 2.20412e-5, 5.16133e+0, 3.25455e-4, 9.68354e+1, 6.10610e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:46:52.012, 09/14/2020 13:46:51.956, 1.99434e+0, 1.37528e-1, 3.83105e+2, 2.28715e+1, 6.87095e+3, 2.04156e+2, 2.00816e+0, 1.38784e-1, 3.85759e+2, 2.30852e+1, 5.04131e+2, 1.38001e-2, 2.94845e+1, 1.10264e-2, 3.12169e+1, 2.26526e-2, 3.49631e+0, 9.09995e-4, 2.31967e+0, 6.04614e-4, -1.72939e+0, 0.00000e+0, -7.01653e+0, 5.67056e-6, 5.16242e+0, 3.51885e-4, 9.68560e+1, 6.60198e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
